289
10
32797694
32797016
0 1 1 27 26 6 (D 0,1,1) (S 10,1,8) (S 7,8,8) (S 27,3,8) (S 13,3,11) (D 0,1,1)
0 1 2 27 21 8 (D 0,1,1) (S 17,1,2) (S 11,2,3) (S 18,1,3) (S 19,1,5) (S 4,5,5) (S 28,4,5) (D 0,1,1)
0 1 3 27 30 6 (D 0,1,1) (S -1,1,6) (S -1,6,6) (S -1,5,6) (S -1,3,6) (D 0,1,1)
0 1 4 27 26 6 (D 0,1,1) (S 21,1,7) (S 6,7,7) (S 26,3,7) (S 37,7,10) (D 0,1,1)
0 1 5 25 30 6 (D 0,1,1) (S -1,1,9) (S -1,9,9) (S -1,4,6) (S -1,6,9) (D 0,1,1)
0 1 6 27 26 7 (D 0,1,1) (S 23,1,10) (S 14,4,10) (S 24,3,4) (S 12,2,5) (S 36,6,11) (D 0,1,1)
0 1 7 27 34 4 (D 0,1,1) (S 1,2,2) (S 31,5,8) (D 0,1,1)
0 1 8 26 29 4 (D 0,1,1) (S -1,4,4) (S -1,4,9) (D 0,1,1)
0 1 9 26 28 6 (D 0,1,1) (S 9,11,11) (S 38,7,11) (S 34,6,7) (S 16,8,10) (D 0,1,1)
0 1 10 27 39 6 (D 0,1,1) (S 39,10,11) (S 33,5,10) (S 32,5,9) (S 2,3,3) (D 0,1,1)
